COMUNE,data,positivi
Alia,2020-10-26,0
Alimena,2020-10-26,20
Aliminusa,2020-10-26,4
Altavilla Milicia,2020-10-26,17
Altofonte,2020-10-26,29
Bagheria,2020-10-26,101
Balestrate,2020-10-26,6
Baucina,2020-10-26,4
Belmonte Mezzagno,2020-10-26,11
Bisacquino,2020-10-26,23
Blufi,2020-10-26,0
Bolognetta,2020-10-26,1
Bompietro,2020-10-26,2
Borgetto,2020-10-26,10
Caccamo,2020-10-26,3
Caltavuturo,2020-10-26,1
Campofelice di Fitalia,2020-10-26,0
Campofelice di Roccella,2020-10-26,6
Campofiorito,2020-10-26,0
Camporeale,2020-10-26,1
Capaci,2020-10-26,12
Carini,2020-10-26,52
Castelbuono,2020-10-26,1
Casteldaccia,2020-10-26,11
Castellana Sicula,2020-10-26,1
Castronovo di Sicilia,2020-10-26,1
Cefalà  Diana,2020-10-26,14
Cefaù,2020-10-26,16
Cerda,2020-10-26,14
Chiusa Sclafani,2020-10-26,13
Ciminna,2020-10-26,7
Cinisi,2020-10-26,6
Collesano,2020-10-26,2
Contessa Entellina,2020-10-26,14
Corleone,2020-10-26,32
Ficarazzi,2020-10-26,39
Gangi,2020-10-26,0
Geraci Siculo,2020-10-26,0
Giardinello,2020-10-26,1
Giuliana,2020-10-26,3
Godrano,2020-10-26,2
Gratteri,2020-10-26,0
Isnello,2020-10-26,0
Isola delle Femmine,2020-10-26,23
Lascari,2020-10-26,19
Lercara Friddi,2020-10-26,5
Marineo,2020-10-26,17
Mezzojuso,2020-10-26,43
Misilmeri,2020-10-26,75
Monreale,2020-10-26,32
Montelepre,2020-10-26,11
Montemaggiore Belsito,2020-10-26,104
Palazzo Adriano,2020-10-26,0
Palermo,2020-10-26,2180
Partinico,2020-10-26,90
Petralia Soprana,2020-10-26,1
Petralia Sottana,2020-10-26,0
Piana degli Albanesi,2020-10-26,
Polizzi Generosa,2020-10-26,0
Pollina,2020-10-26,1
Prizzi,2020-10-26,0
Roccamena,2020-10-26,3
Roccapalumba,2020-10-26,0
San Cipirello,2020-10-26,36
San Giuseppe Jato,2020-10-26,58
San Mauro Castelverde,2020-10-26,1
Santa Cristina Gela,2020-10-26,
Santa Flavia,2020-10-26,17
Sciara,2020-10-26,0
Scillato,2020-10-26,0
Sclafani Bagni,2020-10-26,0
Termini Imerese,2020-10-26,48
Terrasini,2020-10-26,15
Torretta,2020-10-26,55
Trabia,2020-10-26,12
Trappeto,2020-10-26,0
Ustica,2020-10-26,
Valledolmo,2020-10-26,0
Ventimiglia di Sicilia,2020-10-26,0
Vicari,2020-10-26,4
Villabate,2020-10-26,34
Villafrati,2020-10-26,90
Alia,2020-10-27,0
Alimena,2020-10-27,21
Aliminusa,2020-10-27,4
Altavilla Milicia,2020-10-27,19
Altofonte,2020-10-27,22
Bagheria,2020-10-27,101
Balestrate,2020-10-27,6
Baucina,2020-10-27,4
Belmonte Mezzagno,2020-10-27,11
Bisacquino,2020-10-27,23
Blufi,2020-10-27,0
Bolognetta,2020-10-27,1
Bompietro,2020-10-27,4
Borgetto,2020-10-27,10
Caccamo,2020-10-27,3
Caltavuturo,2020-10-27,1
Campofelice di Fitalia,2020-10-27,0
Campofelice di Roccella,2020-10-27,7
Campofiorito,2020-10-27,0
Camporeale,2020-10-27,1
Capaci,2020-10-27,14
Carini,2020-10-27,80
Castelbuono,2020-10-27,0
Casteldaccia,2020-10-27,12
Castellana Sicula,2020-10-27,1
Castronovo di Sicilia,2020-10-27,1
Cefalà  Diana,2020-10-27,14
Cefaù,2020-10-27,19
Cerda,2020-10-27,16
Chiusa Sclafani,2020-10-27,13
Ciminna,2020-10-27,7
Cinisi,2020-10-27,6
Collesano,2020-10-27,2
Contessa Entellina,2020-10-27,14
Corleone,2020-10-27,32
Ficarazzi,2020-10-27,39
Gangi,2020-10-27,0
Geraci Siculo,2020-10-27,0
Giardinello,2020-10-27,1
Giuliana,2020-10-27,3
Godrano,2020-10-27,2
Gratteri,2020-10-27,1
Isnello,2020-10-27,3
Isola delle Femmine,2020-10-27,23
Lascari,2020-10-27,21
Lercara Friddi,2020-10-27,7
Marineo,2020-10-27,17
Mezzojuso,2020-10-27,43
Misilmeri,2020-10-27,75
Monreale,2020-10-27,56
Montelepre,2020-10-27,11
Montemaggiore Belsito,2020-10-27,104
Palazzo Adriano,2020-10-27,3
Palermo,2020-10-27,2415
Partinico,2020-10-27,90
Petralia Soprana,2020-10-27,2
Petralia Sottana,2020-10-27,0
Piana degli Albanesi,2020-10-27,
Polizzi Generosa,2020-10-27,0
Pollina,2020-10-27,5
Prizzi,2020-10-27,0
Roccamena,2020-10-27,6
Roccapalumba,2020-10-27,0
San Cipirello,2020-10-27,36
San Giuseppe Jato,2020-10-27,58
San Mauro Castelverde,2020-10-27,1
Santa Cristina Gela,2020-10-27,
Santa Flavia,2020-10-27,18
Sciara,2020-10-27,0
Scillato,2020-10-27,0
Sclafani Bagni,2020-10-27,0
Termini Imerese,2020-10-27,50
Terrasini,2020-10-27,15
Torretta,2020-10-27,55
Trabia,2020-10-27,12
Trappeto,2020-10-27,0
Ustica,2020-10-27,
Valledolmo,2020-10-27,0
Ventimiglia di Sicilia,2020-10-27,0
Vicari,2020-10-27,4
Villabate,2020-10-27,34
Villafrati,2020-10-27,90
Alia,2020-10-28,0
Alimena,2020-10-28,26
Aliminusa,2020-10-28,4
Altavilla Milicia,2020-10-28,19
Altofonte,2020-10-28,22
Bagheria,2020-10-28,101
Balestrate,2020-10-28,8
Baucina,2020-10-28,4
Belmonte Mezzagno,2020-10-28,11
Bisacquino,2020-10-28,30
Blufi,2020-10-28,0
Bolognetta,2020-10-28,1
Bompietro,2020-10-28,4
Borgetto,2020-10-28,10
Caccamo,2020-10-28,3
Caltavuturo,2020-10-28,1
Campofelice di Fitalia,2020-10-28,0
Campofelice di Roccella,2020-10-28,6
Campofiorito,2020-10-28,0
Camporeale,2020-10-28,2
Capaci,2020-10-28,17
Carini,2020-10-28,96
Castelbuono,2020-10-28,0
Casteldaccia,2020-10-28,12
Castellana Sicula,2020-10-28,1
Castronovo di Sicilia,2020-10-28,1
Cefalà  Diana,2020-10-28,14
Cefaù,2020-10-28,19
Cerda,2020-10-28,16
Chiusa Sclafani,2020-10-28,13
Ciminna,2020-10-28,7
Cinisi,2020-10-28,5
Collesano,2020-10-28,1
Contessa Entellina,2020-10-28,14
Corleone,2020-10-28,29
Ficarazzi,2020-10-28,39
Gangi,2020-10-28,0
Geraci Siculo,2020-10-28,0
Giardinello,2020-10-28,1
Giuliana,2020-10-28,4
Godrano,2020-10-28,2
Gratteri,2020-10-28,1
Isnello,2020-10-28,3
Isola delle Femmine,2020-10-28,22
Lascari,2020-10-28,23
Lercara Friddi,2020-10-28,8
Marineo,2020-10-28,17
Mezzojuso,2020-10-28,43
Misilmeri,2020-10-28,75
Monreale,2020-10-28,56
Montelepre,2020-10-28,10
Montemaggiore Belsito,2020-10-28,104
Palazzo Adriano,2020-10-28,3
Palermo,2020-10-28,2566
Partinico,2020-10-28,122
Petralia Soprana,2020-10-28,2
Petralia Sottana,2020-10-28,0
Piana degli Albanesi,2020-10-28,
Polizzi Generosa,2020-10-28,0
Pollina,2020-10-28,5
Prizzi,2020-10-28,0
Roccamena,2020-10-28,6
Roccapalumba,2020-10-28,0
San Cipirello,2020-10-28,26
San Giuseppe Jato,2020-10-28,38
San Mauro Castelverde,2020-10-28,0
Santa Cristina Gela,2020-10-28,
Santa Flavia,2020-10-28,18
Sciara,2020-10-28,0
Scillato,2020-10-28,0
Sclafani Bagni,2020-10-28,0
Termini Imerese,2020-10-28,50
Terrasini,2020-10-28,18
Torretta,2020-10-28,55
Trabia,2020-10-28,12
Trappeto,2020-10-28,2
Ustica,2020-10-28,
Valledolmo,2020-10-28,0
Ventimiglia di Sicilia,2020-10-28,0
Vicari,2020-10-28,4
Villabate,2020-10-28,32
Villafrati,2020-10-28,48
Alia,2020-10-29,0
Alimena,2020-10-29,26
Aliminusa,2020-10-29,4
Altavilla Milicia,2020-10-29,20
Altofonte,2020-10-29,22
Bagheria,2020-10-29,110
Balestrate,2020-10-29,8
Baucina,2020-10-29,19
Belmonte Mezzagno,2020-10-29,11
