Pro Com,Distretto,COMUNE,Residenti al 31/12/2019,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31
82001,Lercara Friddi,Alia,3510,0,0,0,0,0,0,,0,0,0,0,3,4,,4,6,8,8,,9,,14,14,18,18,19,19,,19,19,19,27,27,,27,27,27,27,27,27,27,,14,14,18,,18,18,,18,,18,7,9,9,,9,,9,8,8,8,,8,8,9,,,9,,,9,9,3
82002,Petralia Sottana,Alimena,1915,3,5,12,12,12,14,,20,21,26,26,26,28,,29,27,27,28,,32,,27,26,26,21,18,14,,7,4,4,2,2,,1,1,1,1,1,1,1,,2,2,9,,9,9,,12,,14,14,19,21,,19,,20,20,21,21,,21,20,20,,,20,,,20,20,20
82003,Termini Imerese,Aliminusa,1138,3,3,3,3,3,3,,4,4,4,4,4,4,,4,4,4,4,,4,,4,4,4,4,4,4,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,,5,5,,5,,5,5,5,5,,5,,5,5,5,5,,5,5,5,,,5,,,5,5,5
82004,Bagheria,Altavilla Milicia,8376,13,13,13,15,15,15,,17,19,19,20,21,21,,26,26,25,25,,24,,25,38,38,43,43,43,,45,64,45,42,42,,43,43,46,41,50,50,47,,50,50,46,,45,44,,46,,51,51,51,44,,44,,41,41,42,42,,40,37,30,,,30,,,31,31,34
82005,Palermo,Altofonte,10015,3,0,0,0,0,29,,29,22,22,22,26,26,,32,36,35,35,,35,,35,35,49,49,52,52,,61,69,69,69,73,,72,72,72,65,65,65,71,,71,71,45,,42,42,,42,,42,39,36,36,,36,,35,35,35,34,,34,34,36,,,38,,,38,42,42
82006,Bagheria,Bagheria,54620,70,70,70,100,100,100,,101,101,101,110,120,121,,182,170,196,196,,197,,205,205,205,255,285,285,,321,311,333,349,381,,402,402,411,404,456,456,469,,452,449,438,,456,387,,409,,400,391,397,351,,351,,346,346,303,303,,309,314,313,,,331,,,346,346,371
82007,Partinico,Balestrate,6415,1,3,6,7,6,6,,6,6,8,8,9,9,,9,12,15,15,,34,,16,18,15,15,12,10,,10,10,10,16,16,,16,16,16,16,17,17,17,,17,17,17,,17,17,,13,,16,16,16,16,,16,,16,16,4,4,,4,4,4,,,4,,,4,4,2
82008,Misilmeri,Baucina,1915,4,4,4,4,4,4,,4,4,4,19,19,19,,19,0,0,0,,0,,1,1,1,11,11,13,,13,13,13,14,14,,14,14,14,14,14,14,14,,39,39,39,,39,39,,39,,39,39,31,31,,31,,31,28,28,28,,18,18,18,,,18,,,18,18,18
82009,Palermo,Belmonte Mezzagno,11144,10,11,11,11,11,11,,11,11,11,11,12,14,,14,17,19,19,,19,,19,19,19,21,21,21,,19,19,19,54,54,,54,54,54,54,54,54,57,,57,57,57,,57,57,,57,,57,57,57,57,,57,,57,57,57,55,,55,55,55,,,55,,,55,87,87
82010,Corleone,Bisacquino,4321,4,5,6,9,9,9,,23,23,30,31,29,29,,36,36,36,39,,40,,42,44,44,48,56,56,,56,60,63,45,45,,45,55,55,53,53,51,51,,51,49,49,,49,19,,14,,18,18,15,14,,14,,15,7,7,7,,7,7,7,,,7,,,6,6,6
82082,Petralia Sottana,Blufi,931,0,0,0,0,0,0,,0,0,0,0,0,0,,0,1,1,2,,2,,2,2,2,2,2,2,,1,1,2,2,2,,3,3,3,3,3,3,3,,3,3,3,,3,3,,3,,3,3,3,2,,2,,1,1,0,0,,0,2,2,,,2,,,2,2,2
82011,Misilmeri,Bolognetta,4138,0,0,0,0,0,1,,1,1,1,30,32,32,,34,40,40,47,,47,,61,61,61,70,73,70,,70,66,66,64,64,,81,81,69,69,58,58,63,,56,56,35,,35,35,,35,,35,35,27,27,,27,,15,15,15,15,,6,6,6,,,13,,,13,10,10
82012,Petralia Sottana,Bompietro,1295,0,0,2,2,2,2,,2,4,4,5,5,6,,6,6,6,8,,8,,8,6,6,6,8,7,,9,14,13,13,14,,25,24,26,26,26,26,26,,26,26,24,,24,24,,18,,18,17,10,11,,7,,5,5,5,5,,5,3,3,,,3,,,2,2,2
82013,Partinico,Borgetto,7338,5,5,5,9,10,10,,10,10,10,10,11,10,,10,10,11,16,,16,,23,25,25,26,21,21,,21,21,21,24,24,,24,26,26,26,26,26,26,,24,24,24,,24,24,,24,,18,18,18,18,,18,,18,18,10,10,,9,9,9,,,9,,,9,9,12
82014,Termini Imerese,Caccamo,7997,3,3,3,3,3,3,,3,3,3,3,3,15,,15,15,15,21,,19,,21,19,19,21,21,21,,19,19,20,20,20,,20,20,20,20,20,20,20,,20,20,20,,20,20,,8,,8,8,8,8,,8,,8,8,8,8,,4,4,4,,,4,,,4,9,9
82015,Termini Imerese,Caltavuturo,3768,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,1,1,1,1,,1,,1,1,1,1,,1,1,1,,,1,,,1,13,13
82016,Misilmeri,Campofelice di Fitalia,473,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82017,Cefalù,Campofelice di Roccella,7667,11,12,12,10,10,10,,6,7,6,6,6,6,,5,8,8,7,,7,,9,9,11,11,11,11,,11,11,11,21,19,,17,17,17,17,17,18,18,,18,18,17,,17,17,,17,,6,4,4,4,,1,,1,1,1,1,,4,4,4,,,4,,,9,9,9
82018,Corleone,Campofiorito,1209,0,0,0,0,0,0,,0,0,0,2,2,2,,2,2,2,4,,5,,6,6,7,10,11,11,,11,11,14,14,14,,14,18,18,18,18,16,16,,16,13,13,,13,4,,4,,2,2,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82019,Partinico,Camporeale,3135,1,1,1,1,1,1,,1,1,2,2,2,2,,2,4,4,6,,6,,5,9,9,9,9,12,,12,12,12,9,9,,9,11,11,11,9,9,9,,9,6,6,,6,6,,6,,3,3,0,0,,0,,0,0,2,2,,2,2,2,,,2,,,2,2,1
82020,Carini,Capaci,11577,6,8,8,8,7,7,,12,14,17,17,17,19,,19,22,26,26,,26,,26,25,25,25,18,18,,18,16,16,16,16,,16,16,12,12,12,12,18,,18,20,20,,20,20,,20,,34,34,34,34,,34,,26,26,26,26,,26,26,26,,,26,,,26,26,26
82021,Carini,Carini,39185,32,45,49,49,51,51,,52,80,96,96,96,101,,101,96,117,117,,117,,117,130,130,130,102,102,,102,92,92,92,92,,92,92,104,104,104,104,85,,85,88,88,,88,88,,88,,79,79,79,79,,79,,53,53,58,58,,58,58,58,,,58,,,58,58,58
