data,Alia,Alimena,Aliminusa,Altavilla Milicia,Altofonte,Bagheria,Balestrate,Baucina,Belmonte Mezzagno,Bisacquino,Bolognetta,Bompietro,Borgetto,Caccamo,Caltavuturo,Campofelice di Fitalia,Campofelice di Roccella,Campofiorito,Camporeale,Capaci,Carini,Castelbuono,Casteldaccia,Castellana Sicula,Castronovo di Sicilia,Cefalà Diana,Cefalù,Cerda,Chiusa Sclafani,Ciminna,Cinisi,Collesano,Contessa Entellina,Corleone,Ficarazzi,Gangi,Geraci Siculo,Giardinello,Giuliana,Godrano,Gratteri,Isnello,Isola delle Femmine,Lascari,Lercara Friddi,Marineo,Mezzojuso,Misilmeri,Monreale,Montelepre,Montemaggiore Belsito,Palazzo Adriano,Palermo,Partinico,Petralia Soprana,Petralia Sottana,Piana degli Albanesi,Polizzi Generosa,Pollina,Prizzi,Roccamena,Roccapalumba,San Cipirello,San Giuseppe Jato,San Mauro Castelverde,Santa Cristina Gela,Santa Flavia,Sciara,Sclafani Bagni,Termini Imerese,Terrasini,Torretta,Trabia,Trappeto,Ustica,Valledolmo,Ventimiglia di Sicilia,Vicari,Villabate,Villafrati,Scillato,Blufi
2020-10-19,0,3,3,13,3,70,1,4,10,4,0,0,5,3,1,0,11,0,1,6,32,1,11,1,0,14,7,8,6,2,6,1,5,34,15,0,0,1,1,2,0,0,5,13,7,17,42,60,4,3,57,0,1437,54,0,1,,2,0,0,0,0,42,67,0,,6,4,0,24,6,13,11,0,,0,0,0,34,100,0,0
2020-10-20,0,5,3,13,0,70,3,4,11,5,0,0,5,3,1,0,12,0,1,8,45,1,11,1,0,14,10,9,13,2,5,2,7,30,15,0,0,1,2,2,0,0,11,16,3,17,43,67,0,3,50,0,1477,70,0,1,,2,0,0,0,0,37,61,0,,6,0,0,28,9,13,12,0,,0,0,0,30,101,0,0
2020-10-21,0,12,3,13,0,70,6,4,11,6,0,2,5,3,1,0,12,0,1,8,49,1,11,1,0,14,10,9,13,7,7,2,7,29,15,0,0,1,3,2,0,0,16,16,3,17,43,72,0,3,50,0,1577,70,0,1,,2,0,0,1,0,37,61,0,,6,0,0,28,11,20,12,0,,0,0,0,30,90,0,0
2020-10-22,0,12,3,15,0,100,7,4,11,9,0,2,9,3,1,0,10,0,1,8,49,1,9,1,0,14,14,11,13,7,7,2,8,30,21,0,0,1,3,2,0,0,16,16,3,17,43,72,0,5,50,0,1777,78,0,1,,2,0,0,1,0,37,61,0,,12,0,0,33,11,50,12,0,,0,0,0,29,90,0,0
2020-10-23,0,12,3,15,0,100,6,4,11,9,0,2,10,3,1,0,10,0,1,7,51,1,9,1,0,14,14,11,13,7,8,2,6,29,22,0,0,1,3,2,0,0,16,16,4,17,43,72,0,11,50,0,1881,90,0,1,,2,0,0,1,0,36,58,0,,13,0,0,33,11,49,12,0,,0,0,2,29,90,0,0
2020-10-24,0,14,3,15,29,100,6,4,11,9,1,2,10,3,1,0,10,0,1,7,51,1,9,1,0,14,14,12,13,7,8,2,6,29,22,0,0,1,3,2,0,0,16,16,3,17,43,75,32,11,104,0,1967,90,0,0,,2,0,0,1,0,36,58,0,,13,0,0,46,11,49,12,0,,0,0,2,29,90,0,0
2020-10-26,0,20,4,17,29,101,6,4,11,23,1,2,10,3,1,0,6,0,1,12,52,1,11,1,1,14,16,14,13,7,6,2,14,32,39,0,0,1,3,2,0,0,23,19,5,17,43,75,32,11,104,0,2180,90,1,0,,0,1,0,3,0,36,58,1,,17,0,0,48,15,55,12,0,,0,0,4,34,90,0,0
2020-10-27,0,21,4,19,22,101,6,4,11,23,1,4,10,3,1,0,7,0,1,14,80,0,12,1,1,14,19,16,13,7,6,2,14,32,39,0,0,1,3,2,1,3,23,21,7,17,43,75,56,11,104,3,2415,90,2,0,,0,5,0,6,0,36,58,1,,18,0,0,50,15,55,12,0,,0,0,4,34,90,0,0
2020-10-28,0,26,4,19,22,101,8,4,11,30,1,4,10,3,1,0,6,0,2,17,96,0,12,1,1,14,19,16,13,7,5,1,14,29,39,0,0,1,4,2,1,3,22,23,8,17,43,75,56,10,104,3,2566,122,2,0,,0,5,0,6,0,26,38,0,,18,0,0,50,18,55,12,2,,0,0,4,32,48,0,0
2020-10-29,0,26,4,20,22,110,8,19,11,31,30,5,10,3,1,0,6,2,2,17,96,0,14,1,1,14,19,16,18,17,5,2,14,27,47,0,0,1,4,2,1,3,22,22,9,19,53,81,56,10,104,6,2682,122,2,0,,0,5,0,6,0,26,38,0,,25,0,0,50,18,55,12,2,,0,0,4,35,48,0,0
