Pro Com,Distretto,COMUNE,Residenti al 31/12/2019,data,positivi,250ContagiPer100kResidenti,allerta
82001,Lercara Friddi,Alia,3510,2020-10-19,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-20,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-21,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-22,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-23,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-24,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-26,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-27,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-28,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-29,0,0,0
82001,Lercara Friddi,Alia,3510,2020-10-30,3,85,0
82001,Lercara Friddi,Alia,3510,2020-10-31,4,114,0
82001,Lercara Friddi,Alia,3510,2020-11-02,4,114,0
82001,Lercara Friddi,Alia,3510,2020-11-03,6,171,0
82001,Lercara Friddi,Alia,3510,2020-11-04,8,228,0
82001,Lercara Friddi,Alia,3510,2020-11-05,8,228,0
82001,Lercara Friddi,Alia,3510,2020-11-07,9,256,1
82001,Lercara Friddi,Alia,3510,2020-11-09,14,399,1
82001,Lercara Friddi,Alia,3510,2020-11-10,14,399,1
82001,Lercara Friddi,Alia,3510,2020-11-11,18,513,1
82001,Lercara Friddi,Alia,3510,2020-11-12,18,513,1
82001,Lercara Friddi,Alia,3510,2020-11-13,19,541,1
82001,Lercara Friddi,Alia,3510,2020-11-14,19,541,1
82001,Lercara Friddi,Alia,3510,2020-11-16,19,541,1
82001,Lercara Friddi,Alia,3510,2020-11-17,19,541,1
82001,Lercara Friddi,Alia,3510,2020-11-18,19,541,1
82001,Lercara Friddi,Alia,3510,2020-11-19,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-20,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-22,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-23,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-24,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-25,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-26,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-27,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-28,27,769,1
82001,Lercara Friddi,Alia,3510,2020-11-30,14,399,1
82001,Lercara Friddi,Alia,3510,2020-12-01,14,399,1
82001,Lercara Friddi,Alia,3510,2020-12-02,18,513,1
82001,Lercara Friddi,Alia,3510,2020-12-04,18,513,1
82001,Lercara Friddi,Alia,3510,2020-12-05,18,513,1
82001,Lercara Friddi,Alia,3510,2020-12-07,18,513,1
82001,Lercara Friddi,Alia,3510,2020-12-09,18,513,1
82001,Lercara Friddi,Alia,3510,2020-12-10,7,199,0
82001,Lercara Friddi,Alia,3510,2020-12-11,9,256,1
82001,Lercara Friddi,Alia,3510,2020-12-12,9,256,1
82001,Lercara Friddi,Alia,3510,2020-12-14,9,256,1
82001,Lercara Friddi,Alia,3510,2020-12-16,9,256,1
82001,Lercara Friddi,Alia,3510,2020-12-17,8,228,0
82001,Lercara Friddi,Alia,3510,2020-12-18,8,228,0
