COMUNE,26/10,27/10,28/10,29/10,30/10,31/10,1/11,2/11,,26/10,27/10,28/10,29/10,30/10,31/10,1/11,2/11
Alia,0,0,0,0,3,4,...,4,,"0,00","0,00","0,00","0,00","0,85","1,14",...,"1,14"
Alimena,20,21,26,26,26,28,...,29,,"10,44","10,97","13,58","13,58","13,58","14,62",...,"15,14"
Aliminusa,4,4,4,4,4,4,...,4,,"3,51","3,51","3,51","3,51","3,51","3,51",...,"3,51"
Altavilla Milicia,17,19,19,20,21,21,...,26,,"2,03","2,27","2,27","2,39","2,51","2,51",...,"3,10"
Altofonte,29,22,22,22,26,26,...,32,,"2,90","2,20","2,20","2,20","2,60","2,60",...,"3,20"
Bagheria,101,101,101,110,120,121,...,182,,"1,85","1,85","1,85","2,01","2,20","2,22",...,"3,33"
Balestrate,6,6,8,8,9,9,...,9,,"0,94","0,94","1,25","1,25","1,40","1,40",...,"1,40"
Baucina,4,4,4,19,19,19,...,19,,"2,09","2,09","2,09","9,92","9,92","9,92",...,"9,92"
Belmonte Mezzagno,11,11,11,11,12,14,...,14,,"0,99","0,99","0,99","0,99","1,08","1,26",...,"1,26"
Bisacquino,23,23,30,31,29,29,...,36,,"5,32","5,32","6,94","7,17","6,71","6,71",...,"8,33"
Blufi,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Bolognetta,1,1,1,30,32,32,...,34,,"0,24","0,24","0,24","7,25","7,73","7,73",...,"8,22"
Bompietro,2,4,4,5,5,6,...,6,,"1,54","3,09","3,09","3,86","3,86","4,63",...,"4,63"
Borgetto,10,10,10,10,11,10,...,10,,"1,36","1,36","1,36","1,36","1,50","1,36",...,"1,36"
Caccamo,3,3,3,3,3,15,...,15,,"0,38","0,38","0,38","0,38","0,38","1,88",...,"1,88"
Caltavuturo,1,1,1,1,1,1,...,1,,"0,27","0,27","0,27","0,27","0,27","0,27",...,"0,27"
Campofelice di Fitalia,0,0,0,0,0,0,...,0,,"0,00","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Campofelice di Roccella,6,7,6,6,6,6,...,5,,"0,78","0,91","0,78","0,78","0,78","0,78",...,"0,65"
Campofiorito,0,0,0,2,2,2,...,2,,"0,00","0,00","0,00","1,65","1,65","1,65",...,"1,65"
Camporeale,1,1,2,2,2,2,...,2,,"0,32","0,32","0,64","0,64","0,64","0,64",...,"0,64"
Capaci,12,14,17,17,17,19,...,19,,"1,04","1,21","1,47","1,47","1,47","1,64",...,"1,64"
Carini,52,80,96,96,96,101,...,101,,"1,33","2,04","2,45","2,45","2,45","2,58",...,"2,58"
Castelbuono,1,0,0,0,0,0,...,0,,"0,12","0,00","0,00","0,00","0,00","0,00",...,"0,00"
Casteldaccia,11,12,12,14,16,16,...,20,,"0,94","1,03","1,03","1,20","1,37","1,37",...,"1,71"
Castellana Sicula,1,1,1,1,1,2,...,2,,"0,31","0,31","0,31","0,31","0,31","0,63",...,"0,63"
